¿Quién 'sabía que no sabía nada'?,Sócrates,1
¿En qué lugar del cuerpo se produce la insulina?,En el páncreas,1
¿De qué estilo arquitectónico es la Catedral de Notre Dame en París?,Gótico,1
¿Quién fue famoso esposo de Frida Kahlo?,Diego Rivera,1
¿Qué atleta se hizo famoso por utilizar una nueva técnica en atletismo?,Dick Fosbury,1
¿Cuál es la raíz cuadrada de 16?,4,2
¿Cual es la raíz cúbica de 125?,5,2
¿Cúanto es 4*4?,16,2
¿Cúanto es 100+28?,128,2
¿Cuántos lados tiene un Octodecágono?,18,2
¿Cúantas sílabas tiene murciélago?,4,3
Menciona un sinónimo de 'camino',ruta,3
¿Qué tipo de palabra es Hipopótamo?,Esdrújula, 3
¿Qué tipo de palabra es Vaca?,Grave,3
¿Qué es un dáctilo?,Un pie de métrica,3
